what an eye opener,Debate Económico
this is amazing do not yield to the advance of the state the state is not the solution the state is the problem itself,Preocupación por la Controversia
dont let somebody else pick your friends or your enemies be smart wrong god only offers slavery wake up gods doing it,Humor y Sarcasmo
he is very mistaken it isnt collectivism being pushed by the unelected selfproclaimed rulers of the globe it is neofeudalism with wannabe elites on top enjoying special treatment and the majority of the worlds population living in poverty,Críticas Severas
thank you and long live freedom damnit,Apoyo Entusiasta
bravo,Apoyo Entusiasta
poor man has no idea,Críticas Severas
thank god for this man a true leader god protect him snd keep him,Apoyo Entusiasta
free markets with large mega corporations who manipulate government and media to extend their control is exactly opposite of real free market and it is what the world is being controlled by now blaming socialism for the evils that lie in the third world is preposterous it is the exploitation of their markets and natural resources by international corporations and anyone who really believes this drivel that is on this video has to look at nazi germany yes when you meld corporations with government you get facism and its a very efficient system to deliver comfortable lives for those who cooperate with the system but goodbye freedom and say hi to a state of fear,Debate Económico
duh free market capitalism existed all the way back to year 0 it was communism that developed almost simultaneously with the industrial revolution marx and engels time was in the heart of the industrial revolution free markets existed from the earliest times in human history get over it and face it,Debate Económico
hes a shill for the banks,Críticas Severas
everything hes talking about is outlined in a doctrine of the wef that ive been censored for simply mentioning the name of slocotorp otnorot eht,Preocupación por la Controversia
absolutely beautiful the defense of the free market is wonderful collectivism is equally to mass death and mass use of a police state to control the individual everywhere collectivism has been instituted has created widespread misery,Apoyo Entusiasta
he is honest for the first time ever we have a president such intelligent and decided to fight corruption the unions an politicians highly corrupts are doing everything to overthrow him even when 60 of the population vote for himhe is our only hope to become a civilized nation again,Apoyo Entusiasta
why are the teeth not visible,Humor y Sarcasmo
arent the capitalists funding wef and davos all media that lie to us all pharma giants are payed by capitalism money i mean nice words but the actual fact is that capitalism generated socialism for the little people while they the capitalists enjoy favours and tax cuts from bought politicians look where we are and where we are heading because of this its good that we can solve global warming by imposing greater taxes for the people and spending trilions of dollars but we cant solve homelesness world hunger or poverty i get the feeling he is talking for freedoms for corporations and not for the little guy he doesnt say anything of use just nice words wrapped at the benefit of capitalist corporations if the state is not the solution then what is corporations wealthy antreprenors its all about the money and with that in the way there is no room for kindness sacrifice altruism caring if there is no money to make maybe the state controlled and payed by corporations is not the solution that i agree,Debate Económico
this has to be either fake or cgi as he glitches alot this is not normalis this video even real,Preocupación por la Controversia
screw youtube the propeganda machine,Preocupación por la Controversia
i bet the wef didnt expect this good for him and respect for argentina the wef is going down as the people are waking up so rishi schapps and hunt better get back for the people and get their socialist snouts out of the wef pot,Apoyo Entusiasta
for healing and freedom it will take people like him and trump just to start,Apoyo Entusiasta
what are the values of the western world what are the virtues that guide them,Debate Económico
long live freedom dammit,Apoyo Entusiasta
342 a 95 reduction in poverty the conclusion is obvious far from being the cause of our problems free market capitalism as an economic system is superior in productive terms indeed,Debate Económico
thank you for speaking up for so many of us we are with you,Apoyo Entusiasta
this ai translation is bs and everything being spoken is pure propaganda,Críticas Severas
the world needs a cap in capitalism without it an individual can take monopoly and wipe out capitalism itself he who has the money wants all the money,Debate Económico
thank you for giving us some hopeall true,Apoyo Entusiasta
everyone in that room is for the exact opposite which the speaker proposes i cannot help but wonder if this is davoss idea to control the narrative calm people to believe something is being done about this so we wont take matters in our own hands gotta keep our eyes peeled anytime any politician from any country speaks its happened nonstop since the 1950s just keep that in mind,Preocupación por la Controversia
its a about pumping out the units right on,Humor y Sarcasmo
do i not work everyday and still live in poverty without healthcare,Debate Económico
monopolies are taking over capitalism it was made illegal for a very good reason that was distroyed in our life time we need to stop those by not reelecting any of those who hold office we need to drain tue swamp ourselves trump didnt and they will not vote themselves less money quite the opposite they use their time in office to fill their coffers not to serve the people and havent most of them for a very long time,Debate Económico
we need a regulation of both big companies and government blackwater is acting as behind the scenes as our gov they have us in a vice we need to stop supporting any of them,Debate Económico
its not capitalism but the desire to make a profit as the cost of people the blatant disregard of the masses so they are not doing capitalism for the good of all but for the good of those in power and owners of those companies and their monopoly of the system,Debate Económico
he means the demmarats,Críticas Severas
polarization at the max not socialism vs capitalism there is no curing poverty when we kill our home earth and ourselves there is a solution in the middle we have yet to find propaganda at its finest comments have been filtered out to display only endorsing ones,Debate Económico
in his 1980 presidential election campaign ronald reagan famously argued that government is not the solution but the problem lolking at the usa about 40 years later we see the followingthe us is the biggest debtor nation the world and guess who owns a major part of that debt yes it is chinaamong the major economies it is the most unequal country both in terms of income and social mobility where as in africa where according to one donald trump where one finds most of the shho countries life expentency is iincreasing in significant parts of the us it has gone down and continues to do soi could go onbut the point is clear watch it the good people of argentina,Debate Económico
brilliant speech,Apoyo Entusiasta
there are dozens of cuts and pastes in this speech,Críticas Severas
he looks like a pissed off frodo,Humor y Sarcasmo
seems some parts were cut out that worries me i like things uncut i manipulated to all me to trust credibility,Críticas Severas
that was not ai it was some indian guy saying it,Preocupación por la Controversia
boom,Apoyo Entusiasta
the world economic forum already knows everything that is being said here theyre just reeling back their oppressive influences for a while to gain your trust,Preocupación por la Controversia
phönix hypothese,Humor y Sarcasmo
nugget,Humor y Sarcasmo
fake,Críticas Severas
